"Age","Sleep","Lung_capacity","Distance_walked","Distance_walked_error","Favourite_subject","Studying_per_week","Driving_licence","Daily_miles_driven"
19,6.73,56.33,0.51,0.46,"Chemistry",16.8,"Yes",19.5
18,7.37,84.84,2.51,1.19,"Maths",14.9,"Yes",17.9
30,6.51,80.23,0.56,0.42,"Music",15.3,"Yes",21
20,7.06,86.03,2.49,0.41,"Chemistry",15.5,"Yes",17.7
18,6.81,57.4,0.65,0.98,"Maths",14.6,"No","NA"
20,7.27,98.16,1.6,0.28,"Music",14.9,"Yes",23.4
26,7.1,67.92,0.93,0.97,"Chemistry",13.5,"Yes",21.7
38,6.49,81.74,3.2,1.09,"Chemistry",17.1,"No","NA"
26,7.01,78.67,1.32,0.99,"Biology",13,"No","NA"
19,6.44,98.05,3.99,0.53,"Music",12.9,"No","NA"
22,7.49,83.57,0.15,0.86,"Psychology",13,"Yes",18.2
26,7.02,95.9,1.17,0.28,"Maths",16.7,"Yes",13.2
20,7.14,84.86,1.25,0.58,"Biology",19.5,"Yes",24.3
27,6.99,79.66,3.83,0.73,"Maths",12.9,"Yes",16
19,7.16,71.75,2.41,0.49,"Chemistry",19.3,"No","NA"
19,7.33,61.85,0.35,0.89,"Biology",13.9,"No","NA"
18,7.11,76.47,1.36,0.87,"Music",13.3,"Yes",20.9
19,7.36,79.33,0.26,0.31,"Psychology",14,"No","NA"
22,6.81,99.24,0.5,0.91,"Psychology",16.2,"No","NA"
19,7.23,89.17,1.81,0.39,"Psychology",15.4,"No","NA"
24,7.37,75.49,1.28,0.34,"Music",13.3,"No","NA"
18,6.93,86.23,0.23,0.95,"Biology",14.8,"Yes",21
24,6.44,83.39,0.43,0.68,"Music",15.6,"No","NA"
29,6.82,86.96,1.54,0.21,"Biology",14.3,"No","NA"
25,6.9,79.47,0.37,0.81,"Psychology",12.9,"Yes",16.2
20,7,75.04,0.47,0.83,"Music",13.6,"No","NA"
44,7.17,77.19,0.45,0.51,"Biology",14.5,"Yes",17.7
21,6.8,93.02,0.44,0.69,"Psychology",15.2,"Yes",23.3
23,7.31,89.66,1.76,0.73,"Biology",15.6,"Yes",17.4
18,6.46,95.29,2.07,1.1,"Music",14.1,"Yes",13
27,8.02,86.96,3.26,0.7,"Music",17.3,"Yes",19.4
29,5.77,78.78,1.52,0.61,"Chemistry",13.7,"Yes",25
25,7.16,80.76,0.24,0.5,"Psychology",14.1,"No","NA"
24,5.98,84.45,0.24,0.45,"Maths",12.1,"No","NA"
22,6.93,93.49,0.29,0.57,"Biology",15.4,"Yes",20.5
24,6.95,84.62,3.26,0.54,"Music",12.8,"Yes",21.8
27,7.09,81.11,2.46,0.23,"Chemistry",13.1,"Yes",28
18,6.43,84.65,1.86,1.16,"Biology",16.5,"No","NA"
20,7.3,106.21,1.79,0.72,"Psychology",15.2,"No","NA"
18,6.96,76.34,0.31,0.73,"Biology",14.5,"No","NA"
19,6.74,60.1,0.36,0.27,"Chemistry",15.9,"No","NA"
19,6.33,93.5,0.35,0.87,"Biology",16.5,"Yes",16.2
21,7.09,79.48,2.76,0.72,"Psychology",16.4,"No","NA"
28,6.65,74.92,2.17,0.59,"Psychology",16.9,"Yes",17.3
22,6.96,87.84,0.1,1,"Psychology",10.9,"Yes",23.6
22,6.61,69.77,0.38,0.34,"Music",14.4,"No","NA"
20,7.33,81.97,0.89,0.68,"Music",16.9,"No","NA"
20,6.98,80.81,0.74,1,"Psychology",11.6,"No","NA"
22,7.5,77.65,1.15,0.73,"Psychology",15.4,"No","NA"
19,7.72,79.87,0.19,1.17,"Chemistry",15.8,"No","NA"
24,7.6,81.72,1.28,0.33,"Chemistry",14.2,"Yes",20.3
29,7.06,74.77,0.41,1.14,"Maths",16.1,"Yes",18.9
21,7.15,68.62,2.55,0.32,"Chemistry",14.4,"Yes",23.6
19,7.24,68.99,0.58,0.23,"Chemistry",15.7,"No","NA"
25,5.96,59.48,0.48,0.86,"Maths",14.6,"Yes",20.8
22,6.38,84.58,1.71,0.44,"Music",16.4,"Yes",24.1
22,6.86,79.77,1.49,0.21,"Psychology",13.4,"Yes",18.1
