"wall_latitude","land_type","nearest_wall","species_count","total_area","pollution"
55.2431,"Private",0.1,4,0.36,"No"
55.3519,"Public",0.2,2,0.45,"Yes"
57.1268,"Public",0.1,1,0.39,"No"
56.6491,"Public",0,2,0.31,"No"
56.2263,"Public",0,3,0.46,"Yes"
55.3573,"Public",0.3,4,0.43,"No"
58.2928,"Private",0.1,3,0.43,"No"
55.1871,"Public",0.3,2,0.33,"No"
55.2386,"Public",0.2,3,0.49,"No"
55.8039,"Public",0.2,1,0.5,"No"
57.288,"Private",0,5,0.44,"No"
58.4254,"Private",0.2,4,0.26,"No"
57.4318,"Public",0,6,0.18,"No"
57.1063,"Public",0,3,0.4,"No"
58.3425,"Public",0.1,2,0.35,"No"
57.1136,"Public",0.1,1,0.38,"No"
57.5843,"Private",0,4,0.37,"No"
57.3806,"Public",0.2,3,0.53,"No"
55.6406,"Public",0,3,0.43,"No"
57.2727,"Public",0.1,3,0.4,"No"
58.4498,"Private",0.2,0,0.37,"Yes"
57.2159,"Public",0.3,4,0.45,"Yes"
56.8469,"Public",0,2,0.58,"No"
56.1301,"Public",0,1,0.28,"No"
58.0925,"Public",0,3,0.42,"No"
56.2733,"Private",0,2,0.26,"No"
57.9601,"Public",0.1,5,0.39,"No"
58.508,"Public",0,2,0.45,"No"
58.492,"Public",0.1,1,0.35,"No"
57.9324,"Public",0,1,0.27,"Yes"
55.1372,"Public",0,3,0.42,"No"
56.3722,"Private",0.3,2,0.43,"No"
57.582,"Public",0.1,4,0.27,"No"
57.7237,"Public",0,2,0.15,"No"
57.9405,"Public",0,3,0.24,"No"
57.3125,"Public",0.1,2,0.37,"No"
57.3217,"Public",0.1,4,0.28,"No"
55.6702,"Public",0,3,0.53,"Yes"
57.8919,"Public",0.1,3,0.4,"No"
58.2863,"Public",0.3,3,0.2,"No"
57.1837,"Private",0.3,1,0.47,"No"
55.4072,"Private",0,3,0.31,"No"
58.2449,"Public",0.1,2,0.5,"No"
56.2484,"Public",0,3,0.53,"No"
55.9209,"Public",0.3,2,0.45,"No"
57.6822,"Private",0,2,0.37,"No"
56.099,"Private",0.1,5,0.48,"No"
57.6118,"Public",0,7,0.38,"No"
57.5681,"Private",0.1,4,0.52,"No"
55.422,"Private",0.1,3,0.47,"No"
56.1363,"Public",0,3,0.49,"No"
55.7948,"Public",0.2,3,0.33,"No"
57.9515,"Private",0.1,6,0.28,"No"
55.9481,"Public",0,3,0.46,"No"
55.6043,"Public",0,2,0.48,"No"
57.0908,"Private",0.3,2,0.42,"No"
56.3066,"Public",0.3,1,0.44,"No"
55.524,"Public",0.1,2,0.56,"No"
56.4906,"Public",0.1,8,0.47,"No"
55.2403,"Public",0.1,2,0.32,"No"
56.4545,"Public",0,4,0.43,"Yes"
55.3313,"Public",0.2,7,0.32,"No"
57.1737,"Public",0,3,0.39,"No"
57.6051,"Public",0,3,0.33,"No"
55.1475,"Private",0.1,2,0.41,"No"
56.2295,"Public",0.1,2,0.36,"No"
55.6512,"Public",0.2,1,0.25,"No"
58.4767,"Public",0.2,1,0.44,"Yes"
55.165,"Public",0.1,1,0.57,"Yes"
56.5103,"Public",0.2,3,0.4,"No"
58.5522,"Private",0.3,1,0.5,"No"
57.7991,"Public",0.2,2,0.29,"No"
57.1921,"Public",0.1,2,0.31,"No"
55.1671,"Public",0.1,4,0.37,"No"
55.9967,"Public",0.2,6,0.63,"No"
55.0717,"Private",0,4,0.52,"No"
55.5817,"Private",0,4,0.29,"No"
56.8253,"Private",0.1,6,0.19,"Yes"
57.1068,"Private",0.2,4,0.36,"No"
56.9233,"Public",0,3,0.44,"No"
57.7507,"Private",0.1,3,0.38,"No"
55.7345,"Private",0.1,4,0.32,"No"
55.3893,"Private",0,1,0.4,"No"
56.0336,"Private",0.1,5,0.42,"No"
56.7332,"Public",0,3,0.47,"No"
58.4648,"Private",0.1,2,0.4,"No"
57.5543,"Public",0.1,3,0.36,"No"
55.1491,"Public",0.1,3,0.39,"No"
56.0139,"Public",0.2,5,0.2,"No"
55.1306,"Public",0.2,5,0.24,"No"
57.5356,"Public",0.1,2,0.36,"No"
56.8283,"Public",0,1,0.31,"No"
55.1535,"Private",0.2,0,0.43,"No"
56.6376,"Public",0,4,0.38,"No"
58.5556,"Private",0.1,5,0.38,"No"
56.6659,"Public",0,0,0.6,"No"
55.1959,"Public",0.2,3,0.31,"No"
56.4259,"Private",0.3,5,0.38,"No"
56.6891,"Public",0.1,4,0.41,"No"
57.2873,"Public",0.5,4,0.42,"No"
58.0491,"Private",0.2,2,0.4,"No"
57.3581,"Public",0.1,4,0.28,"No"
55.9317,"Public",0.2,5,0.24,"No"
58.2031,"Private",0.1,2,0.39,"No"
55.7409,"Public",0.2,2,0.37,"Yes"
57.8721,"Public",0.1,4,0.53,"No"
57.553,"Private",0.1,4,0.44,"Yes"
55.5463,"Private",0.1,2,0.35,"No"
55.1074,"Public",0.1,3,0.52,"No"
58.1155,"Public",0.4,2,0.36,"No"
58.1706,"Private",0.3,5,0.5,"No"
58.5563,"Private",0.1,2,0.42,"No"
58.5355,"Public",0.3,2,0.29,"No"
57.4838,"Public",0.1,1,0.36,"Yes"
56.5833,"Private",0.1,4,0.24,"No"
56.3409,"Private",0,2,0.52,"No"
58.1568,"Public",0.2,1,0.4,"No"
56.871,"Private",0,2,0.56,"No"
58.2712,"Public",0.1,2,0.38,"No"
57.9132,"Private",0.2,0,0.3,"No"
56.7707,"Public",0,3,0.27,"No"
56.9993,"Private",0,2,0.32,"No"
56.0825,"Public",0.1,3,0.49,"No"
57.6066,"Public",0,3,0.44,"No"
56.4327,"Private",0.4,2,0.26,"No"
55.121,"Private",0.2,6,0.41,"No"
57.6896,"Public",0.1,7,0.39,"No"
55.7229,"Private",0,2,0.35,"No"
58.3342,"Public",0,0,0.09,"No"
55.2277,"Public",0.1,1,0.43,"No"
57.9202,"Public",0.1,5,0.29,"Yes"
56.2414,"Public",0.1,2,0.43,"Yes"
57.8484,"Private",0,2,0.12,"No"
58.3159,"Private",0.3,6,0.58,"Yes"
55.1027,"Public",0.1,5,0.44,"No"
55.7598,"Private",0.1,4,0.59,"No"
57.3309,"Public",0,3,0.38,"No"
55.0909,"Public",0,3,0.38,"Yes"
57.9696,"Public",0.1,6,0.35,"No"
58.2835,"Public",0,3,0.47,"No"
55.4771,"Public",0.1,2,0.38,"Yes"
57.5528,"Public",0.1,3,0.32,"No"
56.4571,"Public",0.2,5,0.3,"No"
56.2328,"Private",0.2,5,0.33,"Yes"
57.3438,"Public",0.2,2,0.44,"No"
57.4178,"Public",0,4,0.22,"No"
57.2204,"Public",0.1,7,0.4,"No"
57.9943,"Public",0.4,4,0.31,"No"
57.2484,"Public",0.1,4,0.44,"Yes"
55.5766,"Private",0.1,1,0.54,"No"
55.3107,"Public",0.1,2,0.31,"No"
57.0394,"Private",0.1,4,0.34,"No"
55.5888,"Private",0.2,4,0.36,"No"
56.2135,"Public",0.3,4,0.42,"No"
57.4746,"Public",0.1,4,0.45,"No"
57.7437,"Private",0.3,2,0.47,"No"
57.8932,"Public",0.1,4,0.38,"Yes"
55.8327,"Public",0.3,2,0.4,"Yes"
55.5727,"Private",0,0,0.46,"Yes"
57.6465,"Public",0.1,3,0.24,"No"
57.3399,"Public",0.3,2,0.21,"No"
55.4187,"Public",0,2,0.41,"Yes"
55.9765,"Public",0.1,4,0.53,"No"
55.2305,"Private",0.1,3,0.41,"No"
56.3429,"Public",0,5,0.45,"Yes"
57.6504,"Public",0.1,3,0.38,"No"
57.4966,"Public",0,4,0.41,"No"
56.8306,"Private",0.1,6,0.5,"No"
55.2436,"Public",0.1,3,0.37,"No"
